character,fav_count,copyright
marceline_abadeer,87213,adventure_time
luigi,87095,mario_bros
marie_itami,86360,brand_new_animal
cheese_the_chao,86305,sonic_the_hedgehog_(series)
big_the_cat,86241,sonic_the_hedgehog_(series)
rebecca_cunningham,85837,talespin
garfield_the_cat,85774,garfield_(series)
donkey_kong_(character),85524,donkey_kong_(series)
miranda_(wakfu),85291,wakfu
victor_(pokemon),85093,pokemon
mayor_mare_(mlp),84486,friendship_is_magic
nicole_the_lynx,84404,sonic_the_hedgehog_(archie)
kyubi_(yo-kai_watch),84322,yo-kai_watch
amicus_(adastra),84171,adastra
dot_warner,84012,animaniacs
tarnished_(elden_ring),84006,elden_ring
pepe_le_pew,83977,looney_tunes
funtime_foxy_(fnafsl),83959,sister_location
lady_(lady_and_the_tramp),83153,lady_and_the_tramp
pear_butter_(mlp),83144,friendship_is_magic
ganyu_(genshin_impact),83044,genshin_impact
catti_(deltarune),82769,deltarune
gloria_the_hippopotamus,82751,madagascar_(series)
kicks_(animal_crossing),82255,animal_crossing
coco_pommel_(mlp),81813,friendship_is_magic
delilah_(101_dalmatians),81383,101_dalmatian_street
off_the_hook_(splatoon),81138,splatoon
iscream_(chikn_nuggit),80966,chikn_nuggit
callie_briggs,80919,swat_kats
alistar_(lol),80528,league_of_legends
nurse_redheart_(mlp),80481,friendship_is_magic
hilbert_(pokemon),80403,pokemon
demon_lord_dragon_batzz,80194,future_card_buddyfight
captain_amelia,80090,treasure_planet
vector_the_crocodile,80061,sonic_the_hedgehog_(series)
flowey_the_flower,80060,undertale
mipha,80039,breath_of_the_wild
crazy_redd,79986,animal_crossing
ms._harshwhinny_(mlp),79868,friendship_is_magic
blue_(blue's_clues),79763,blue's_clues
elio_(pokemon),79397,pokemon
tikal_the_echidna,79080,sonic_adventure
reppy_(mlp),79064,my_little_pony
gnar_(lol),78927,league_of_legends
makoto_nanaya,78734,blazblue
lilith_calah,78577,dreamkeepers
asui_tsuyu,78492,my_hero_academia
surge_the_tenrec,78389,sonic_the_hedgehog_(idw)
cuddle_team_leader,78317,fortnite
bonbon_(mlp),78280,friendship_is_magic
minnie_mouse,77914,disney
lord_dominator,77882,wander_over_yonder
mrs._brisby,77098,the_secret_of_nimh
alexstrasza,76993,warcraft
hiccup_horrendous_haddock_iii,76753,how_to_train_your_dragon
daybreaker_(mlp),76744,friendship_is_magic
patricia_bunny,76679,the_looney_tunes_show
trace_legacy,76661,twokinds
timon,75989,the_lion_king
champa,75767,dragon_ball_super
queen_tyr'ahnee,75456,duck_dodgers
kaa_(jungle_book),75448,the_jungle_book
sue_sakamoto,75427,cave_story
leodore_lionheart,75247,zootopia
mina_mongoose,75089,sonic_the_hedgehog_(archie)
marine_the_raccoon,74829,sonic_the_hedgehog_(series)
max_goof,74645,goof_troop
cozy_glow_(mlp),74469,friendship_is_magic
fionna_the_human,74257,adventure_time
buster_bunny,73422,tiny_toon_adventures
lotus_(mlp),73020,friendship_is_magic
charlie_morningstar,73001,hazbin_hotel
the_shark_(changed),72791,changed_(video_game)
silver_spoon_(mlp),72738,friendship_is_magic
nadia_fortune,72425,skullgirls
aloe_(mlp),72285,friendship_is_magic
golden_freddy_(fnaf),72240,five_nights_at_freddy's
horkeu_kamui_(tas),71296,tokyo_afterschool_summoners
raine_silverlock,71156,twokinds
morrigan_aensland,71050,darkstalkers
marshall_(paw_patrol),70578,paw_patrol
bast,70400,egyptian_mythology
secretary_washimi,70328,aggressive_retsuko
addison_(frisky_ferals),70164,frisky_ferals
lammy_lamb,70010,um_jammer_lammy
ahsoka_tano,69605,star_wars
slippy_toad,69362,star_fox
littlepip,69284,fallout_equestria
mora_linda,68899,las_lindas
monique_pussycat,68614,super_fuck_friends
dylan_(101_dalmatians),68520,101_dalmatian_street
fink_(ok_k.o.!_lbh),68467,ok_k.o.!_let's_be_heroes
vivian_(mario),68157,paper_mario
jewel_(rio),68119,rio_(series)
cupcake_(fnaf),67968,five_nights_at_freddy's
polly_esther,67625,samurai_pizza_cats
babs_bunny,67311,tiny_toon_adventures
lady_nora_(twokinds),67248,twokinds
zen_(twokinds),67230,twokinds
hekapoo,67027,star_vs._the_forces_of_evil
alcina_dimitrescu,66993,resident_evil
velvet_reindeer_(tfh),66739,them's_fightin'_herds
devon_(frisky_ferals),66719,frisky_ferals
ms._tarantula_(the_bad_guys),66713,the_bad_guys
dingodile,65834,crash_bandicoot_(series)
cofi_(chikn_nuggit),65803,chikn_nuggit
mia_(world_flipper),65549,world_flipper
calem_(pokemon),65527,pokemon
jimmy_crystal,65472,sing_(movie)
nightmare_rarity_(idw),65457,my_little_pony_(idw)
curly_brace,64821,cave_story
renimpmon,64435,digimon
pina_(beastars),64402,beastars
ran_yakumo,64292,touhou
verosika_mayday_(helluva_boss),64264,helluva_boss
medli,64134,the_legend_of_zelda
hello_kitty_(character),63961,hello_kitty_(series)
iggy_(jjba),63886,jojo's_bizarre_adventure
lillie_(pokemon),63844,pokemon
brooklyn_(gargoyles),63754,gargoyles
jessie_(team_rocket),63635,team_rocket
princess_ruto,63515,ocarina_of_time
pound_cake_(mlp),63465,friendship_is_magic
fay_spaniel,63445,star_fox
chase_(paw_patrol),63226,paw_patrol
liru_(magical_pokaan),63177,magical_pokaan
raphael_(tmnt),63091,teenage_mutant_ninja_turtles
fleur_de_lis_(mlp),62794,friendship_is_magic
babs_seed_(mlp),62786,friendship_is_magic
benjamin_clawhauser,62563,zootopia
angela_cross,62548,ratchet_and_clank
fizz_(lol),62449,league_of_legends
tinker_bell_(disney),62327,peter_pan
hellhound_(mge),61964,monster_girl_encyclopedia
izzy_moonbow_(mlp),61639,mlp_g5
chikn_nuggit_(chikn_nuggit),61564,chikn_nuggit
rita_(jungledyret),61458,jungledyret_hugo
raphtalia,61054,the_rising_of_the_shield_hero
kit_cloudkicker,60889,talespin
squid_sisters_(splatoon),60663,splatoon
etna_(disgaea),60457,disgaea
winnie_werewolf_(ghoul_school),60413,ghoul_school
starfire_(teen_titans),59993,teen_titans
blake_belladonna,59548,rwby
daffy_duck,59513,looney_tunes
kali_belladonna,59124,rwby
lolbit_(fnaf),59093,five_nights_at_freddy's_world
alejandra_coldthorn,58537,las_lindas
margaret_smith_(regular_show),58497,regular_show
megumi_bandicoot,58397,crash_bandicoot_(series)
veigar,58130,league_of_legends
hatsune_miku,58097,vocaloid
quill-weave,58040,oblivion
k.k._slider,57706,animal_crossing
dixie_kong,57623,donkey_kong_(series)
modeus_(helltaker),57609,helltaker
spoiled_rich_(mlp),57520,friendship_is_magic
crimvael_(interspecies_reviewers),57201,interspecies_reviewers
bonnie_hopps,57148,zootopia
wanda_(one_piece),56656,one_piece
tiny_kong,56530,donkey_kong_(series)
michelangelo_(tmnt),56377,teenage_mutant_ninja_turtles
parappa,56150,parappa_the_rapper
sawyer_(cats_don't_dance),56028,cats_don't_dance
adorabat,55978,mao_mao:_heroes_of_pure_heart
riz_(beastars),55974,beastars
tracer_(overwatch),55771,overwatch
angel_(mlp),55636,friendship_is_magic
rocko_rama,55633,rocko's_modern_life
astrid_hofferson,54877,how_to_train_your_dragon
ganon,54709,the_legend_of_zelda
jerry_mouse,54579,tom_and_jerry
fizzle_(mlp),54452,friendship_is_magic
shippou_(inuyasha),53931,inuyasha
florian_(pokemon),53748,pokemon
the_deadly_six,53652,sonic_the_hedgehog_(series)
labelle_able,53109,animal_crossing
doge,53094,dogelore
grizzly_(wbb),53087,we_bare_bears
tod_(fath),53080,fox_and_the_hound
panini_(chowder),52849,chowder_(series)
daxter,52660,jak_and_daxter
luz_noceda,52638,the_owl_house
alvin_seville,52452,alvin_and_the_chipmunks
ami_bandicoot,52277,crash_bandicoot_(series)
bratty_(undertale),52118,undertale_(series)
laura_(twokinds),52009,twokinds
jasper_(family_guy),51865,family_guy
lolly_(animal_crossing),51827,animal_crossing
diddy_kong,51658,donkey_kong_(series)
master_chief,51657,halo_(series)
commander_shepard,51592,mass_effect
jack_frost_(megami_tensei),51572,megami_tensei
marionette_(fnaf),51522,five_nights_at_freddy's_2
jet_the_hawk,51033,sonic_riders
peppy_hare,50788,star_fox
rita_(disney),50601,oliver_and_company
thomas_cat,50530,tom_and_jerry
lt._fox_vixen,50491,squirrel_and_hedgehog
kibbles_(uberquest),50486,uberquest
panda_(wbb),50425,we_bare_bears
midna_(true_form),50399,twilight_princess
classic_amy_rose,50342,classic_sonic_(universe)
fiona_fox,50185,sonic_the_hedgehog_(archie)
mary_senicourt,49906,the_amazing_world_of_gumball
easter_bunny,49803,easter
circus_baby_(fnaf),49779,five_nights_at_freddy's
maleficent,49236,sleeping_beauty_(1959)
pipsqueak_(mlp),49174,friendship_is_magic
lucifer_(helltaker),49066,helltaker
sora_(kingdom_hearts),48840,kingdom_hearts
cookie_crumbles_(mlp),48784,friendship_is_magic
izuku_midoriya,48752,my_hero_academia
slark_the_nightcrawler,48717,dota
toon_link,48659,wind_waker
timmy_nook,48478,animal_crossing
jubei_(blazblue),48333,blazblue
dr._eggman,47962,sonic_the_hedgehog_(series)
skye_(animal_crossing),47659,animal_crossing
autumn_blaze_(mlp),47633,friendship_is_magic
general_scales,47525,star_fox
doggo_(undertale),47500,undertale
donatello_(tmnt),47264,teenage_mutant_ninja_turtles
bianca_(spyro),47251,spyro_the_dragon
mike_(twokinds),47249,twokinds
tommy_nook,47205,animal_crossing
papyrus_(undertale),47105,undertale
palutena,47047,kid_icarus
charle_(fairy_tail),46898,fairy_tail
daring_do_(mlp),46854,friendship_is_magic
kanna_(blaster_master),46781,blaster_master
caster_tamamo-no-mae,46719,fate_(series)
duck_hunt_dog,46639,duck_hunt
lin_hu,46478,nekojishi
pyro_(team_fortress_2),46357,team_fortress_2
zac_(lol),46331,league_of_legends
rachnera_arachnera_(monster_musume),46068,monster_musume
liz_bandicoot,45860,crash_bandicoot_(series)
king_boo,45835,luigi's_mansion
ben_tennyson,45802,ben_10
squid_dog_(changed),45734,changed_(video_game)
eda_clawthorne,45631,the_owl_house
rory_(ceehaz),45392,dog_knight_rpg
angel_(lilo_and_stitch),45333,lilo_and_stitch
dragaux,45325,ring_fit_adventure
catra,45252,she-ra_and_the_princesses_of_power
assassin_shuten-douji,44741,fate_(series)
aisha_clanclan,44728,outlaw_star
grape_jelly_(housepets!),44716,housepets!
mickey_mouse,44673,disney
likulau,44662,nekojishi
